"","StreamID","Family.x","monthyear","mean","lowCI","hiCI","sd","cv"
"1","Herbert River","Acari","2018-Apr",0.065170110992509,0.0647678896429748,0.0655723323420431,0.000205205937002973,0.00314877378414409
"2","Herbert River","Acari","2018-Aug",0.229575478048749,0.229575478048749,0.229575478048749,0,0
"3","Herbert River","Acari","2018-Jun",0.0835129639086035,0.0835129639086035,0.0835129639086035,0,0
"4","Herbert River","Acari","2018-Nov",0.0839734899108821,0.0834420879560973,0.0845048918656669,0.000271115811041706,0.00322858810952636
"5","Herbert River","Acari","2019-Jan",0.0303796171963921,0.0303796171963921,0.0303796171963921,0,0
"6","Herbert River","Ameletidae","2018-Apr",5.97169095045029,5.94607095872889,5.99731094217169,0.013071143722534,0.00218885133724952
"7","Herbert River","Ameletidae","2018-Jun",2.47486817031348,2.4720917926396,2.47764454798736,0.00141645673577122,0.000572336237041589
"8","Herbert River","Ameletidae","2018-May",7.91827556009512,7.88419167800515,7.95235944218509,0.0173889692796632,0.00219605508139884
"9","Herbert River","Ameletidae","2018-Nov",0.271837646907951,0.268679473547825,0.274995820268076,0.00161126754434512,0.00592731567048447
"10","Herbert River","Ameletidae","2018-Oct",0.315834733116064,0.315834733116064,0.315834733116064,0,0
"11","Herbert River","Ameletidae","2018-Sep",0.377576286499983,0.377576286499983,0.377576286499983,0,0
"12","Herbert River","Ameletidae","2019-Jan",0.794961618777692,0.794961618777692,0.794961618777692,0,0
"13","Herbert River","Arachnida","2018-Oct",0.0766813793324682,0.0766813793324682,0.0766813793324682,0,0
"14","Herbert River","Baetidae","2018-Apr",8.03323734716603,8.00240096562827,8.0640737287038,0.0157325685167036,0.00195843441900216
"15","Herbert River","Baetidae","2018-Aug",2.35907852359637,2.34823899460743,2.36991805258532,0.0055302747364647,0.00234425208027153
"16","Herbert River","Baetidae","2018-Jul",0.0826654901229528,0.0826654901229528,0.0826654901229528,0,0
"17","Herbert River","Baetidae","2018-Jun",7.79178849335817,7.76125513729767,7.82232184941867,0.0155779692822292,0.00199928030586406
"18","Herbert River","Baetidae","2018-May",4.01519489732943,3.9702839096678,4.06010588499106,0.0229134779035885,0.00570669132868956
